SCENARIO,YEAR,GFA_Bm2,BUILDING_CLASS,EUI_kWh_m2_yr,TOTAL_CONSUMPTION_EJ
data_B1_2070,2070,17.841205844885163,Commercial,316.68689795922893,20.340274085527486
data_B1_2070,2070,15.219531690776732,Commercial,316.68689795922893,17.351374606359343
data_B1_2070,2070,16.214729848056418,Commercial,316.68689795922893,18.485972988580468
data_B1_2070,2070,16.629784246013237,Commercial,316.68689795922893,18.959165231764274
data_B1_2070,2070,15.998182187033212,Commercial,316.68689795922893,18.239092883273305
data_B1_2070,2070,16.491528563734096,Commercial,316.68689795922893,18.80154368443789
data_B1_2070,2070,17.559852856686938,Commercial,316.68689795922893,20.01951118729689
data_B1_2070,2070,16.906423720016058,Commercial,316.68689795922893,19.274554380514363
data_B1_2070,2070,15.773133990617774,Commercial,316.68689795922893,17.98252154850246
data_B1_2070,2070,16.389616966824143,Commercial,316.68689795922893,18.685357041468546
data_B1_2070,2070,17.419871371101447,Commercial,316.68689795922893,19.85992209850643
data_B1_2070,2070,15.074535459297927,Commercial,316.68689795922893,17.18606834201326
data_B1_2070,2070,16.345336306442082,Commercial,316.68689795922893,18.634873863555015
data_B1_2070,2070,16.478848646631967,Commercial,316.68689795922893,18.787087655429456
data_B1_2070,2070,15.015305948588665,Commercial,316.68689795922893,17.118542385962286
data_B1_2070,2070,16.720775389800227,Commercial,316.68689795922893,19.062901762807865
data_B1_2070,2070,16.486401399749344,Commercial,316.68689795922893,18.795698344070313
data_B1_2070,2070,16.779838804312135,Commercial,316.68689795922893,19.130238357096626
data_B1_2070,2070,16.48611600706577,Commercial,316.68689795922893,18.795372975625135
data_B1_2070,2070,17.064801483513403,Commercial,316.68689795922893,19.455116565974066
data_B1_2070,2070,17.09418683250212,Commercial,316.68689795922893,19.488618004034137
data_B1_2080,2080,35.58622622333983,Residential,212.9134765448824,27.276433712366195
data_B1_2080,2080,35.0699845900711,Residential,212.9134765448824,26.880740429210967
data_B1_2080,2080,36.03816078322965,Residential,212.9134765448824,27.622836362307122
data_B1_2080,2080,35.295104084973694,Residential,212.9134765448824,27.053291936682825
data_B1_2080,2080,35.20362758534427,Residential,212.9134765448824,26.983176250273097
data_B1_2080,2080,35.797265778891145,Residential,212.9134765448824,27.4381931080255
data_B1_2080,2080,35.27500948572103,Residential,212.9134765448824,27.03788965713085
data_B1_2080,2080,35.61043027807146,Residential,212.9134765448824,27.29498584234802
data_B1_2080,2080,35.584478990693,Residential,212.9134765448824,27.275094478608388
data_B1_2080,2080,35.91204088606029,Residential,212.9134765448824,27.526166909542997
data_B1_2080,2080,35.54055803429244,Residential,212.9134765448824,27.241429569934876
data_B1_2080,2080,35.47624816163975,Residential,212.9134765448824,27.19213679110937
data_B1_2080,2080,35.06410274491857,Residential,212.9134765448824,26.87623206245124
data_B1_2080,2080,35.675786561163996,Residential,212.9134765448824,27.345080682758237
data_B1_2080,2080,36.00036882899003,Residential,212.9134765448824,27.593869263401825
data_B1_2080,2080,35.4008978999633,Residential,212.9134765448824,27.1343816808898
data_B1_2080,2080,36.07663925042828,Residential,212.9134765448824,27.652329665511278
data_B1_2080,2080,36.10924039718673,Residential,212.9134765448824,27.677318070095772
data_B1_2080,2080,35.359407139968425,Residential,212.9134765448824,27.102579489851813
data_B1_2080,2080,35.628737765339416,Residential,212.9134765448824,27.309018321087695
data_B1_2080,2080,35.360969201356944,Residential,212.9134765448824,27.103776791966713
data_B1_2080,2080,35.773846375491345,Residential,212.9134765448824,27.42024240427825
data_B1_2080,2080,35.598448902882616,Residential,212.9134765448824,27.285802255865132
data_B1_2080,2080,35.96099056609869,Residential,212.9134765448824,27.563686277132845
data_B1_2080,2080,35.7335982285097,Residential,212.9134765448824,27.389392661844184
data_B1_2080,2080,35.48012846703346,Residential,212.9134765448824,27.19511100063052
data_B1_2080,2080,35.68866431811885,Residential,212.9134765448824,27.354951335570327
data_B1_2080,2080,36.18051388023382,Residential,212.9134765448824,27.731948376315437
data_B1_2080,2080,36.10594830003801,Residential,212.9134765448824,27.674794715439162
data_B1_2080,2080,35.71285337834961,Residential,212.9134765448824,27.373491972439428
data_B1_2080,2080,35.744185476777695,Residential,212.9134765448824,27.397507666053002
data_B1_2080,2080,35.69204790646278,Residential,212.9134765448824,27.357544817177338
data_B1_2080,2080,35.84896857602027,Residential,212.9134765448824,27.477822708247384
data_B1_2080,2080,35.27525909847992,Residential,212.9134765448824,27.038080982443873
data_B1_2080,2080,35.682388974108065,Residential,212.9134765448824,27.350141356454856
data_B1_2080,2080,35.814999266426135,Residential,212.9134765448824,27.45178562256192
data_B1_2080,2080,35.85936318514948,Residential,212.9134765448824,27.48579005676868
data_B1_2080,2080,35.84363430858048,Residential,212.9134765448824,27.473734053515848
data_B1_2080,2080,35.85992808723598,Residential,212.9134765448824,27.48622304773039
data_B1_2080,2080,35.497864272877806,Residential,212.9134765448824,27.20870529212444
data_B1_2080,2080,35.3650680251508,Residential,212.9134765448824,27.10691849333201
data_B1_2080,2080,35.80798654727989,Residential,212.9134765448824,27.446410453873472
data_B1_2080,2080,36.07747621138107,Residential,212.9134765448824,27.652971186469568
data_B1_2080,2080,35.484971726381985,Residential,212.9134765448824,27.198823303299047
data_B1_2080,2080,35.28000464332291,Residential,212.9134765448824,27.041718388066112
data_B1_2080,2080,35.57862339345035,Residential,212.9134765448824,27.27060623057014
data_B1_2080,2080,35.19129674735327,Residential,212.9134765448824,26.973724804565748
data_B1_2080,2080,34.76074853632946,Residential,212.9134765448824,26.643714545420416
data_B1_2080,2080,35.19710531117283,Residential,212.9134765448824,26.978177002025344
data_B1_2080,2080,35.9154010036412,Residential,212.9134765448824,27.5287424010797
data_B1_2080,2080,35.55288516158829,Residential,212.9134765448824,27.250878171437016
data_B1_2080,2080,35.875900243108006,Residential,212.9134765448824,27.498465521775064
data_B1_2080,2080,35.31815627763585,Residential,212.9134765448824,27.07096117761688
data_B1_2080,2080,35.773683034267236,Residential,212.9134765448824,27.420117205105853
data_B1_2080,2080,35.719563377843194,Residential,212.9134765448824,27.378635109990686
data_B1_2080,2080,35.28792914975683,Residential,212.9134765448824,27.047792431239202
data_B1_2080,2080,35.28308221673951,Residential,212.9134765448824,27.044077312745728
data_B1_2080,2080,35.4240899325142,Residential,212.9134765448824,27.1521581074926
data_B1_2080,2080,35.5083847100064,Residential,212.9134765448824,27.21676908636219
data_B1_2080,2080,35.719118375607565,Residential,212.9134765448824,27.37829402088768
data_B1_2080,2080,35.12697715938725,Residential,212.9134765448824,26.924424579064144
data_B1_2080,2080,35.22113324120489,Residential,212.9134765448824,26.996594134447637
data_B1_2080,2080,35.21886119890614,Residential,212.9134765448824,26.99485264011878
data_B1_2080,2080,36.0696996912289,Residential,212.9134765448824,27.647010573081896
data_B1_2080,2080,35.60576451410175,Residential,212.9134765448824,27.291409587848914
data_B1_2080,2080,35.95087414713797,Residential,212.9134765448824,27.55593215818085
